RELU k = 3, Integration points: Nx 50, order 2 
dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.09693932106188861 		 * 		 3.3926062024129005 		 * 
8 		 0.09694458634278279 		 -7.835817565735697e-05 		 3.3925924977253503 		 5.827886739691866e-06 
16 		 0.09706520045563835 		 -0.0017938208970554007 		 3.39178000558993 		 0.0003455524824333215 
32 		 0.09668395108064236 		 0.005677725948170414 		 3.3845003872837642 		 0.0030997162635291744 
64 		 0.0916199681927556 		 0.0776143693958335 		 3.29663521032224 		 0.03794862776006964 
128 		 0.0670903347123904 		 0.4495571207170282 		 2.620098947881864 		 0.33137295811346784 
256 		 0.02819512021912566 		 1.2506594469187657 		 1.3848307442500654 		 0.9199116370321794 
512 		 0.006875473568366009 		 2.0359145024637706 		 0.45835734600158 		 1.5951649584817316 
1024 		 0.0024548234418172907 		 1.485839821425591 		 0.22290792180931243 		 1.0400249067564866 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.09699565575166395 		 * 		 3.392597567954424 		 * 
8 		 0.09694591672541904 		 0.0007399986208109213 		 3.3925726645069183 		 1.0590177987166706e-05 
16 		 0.09711757137194765 		 -0.00255220983921775 		 3.3924506818053004 		 5.187420285375083e-05 
32 		 0.0973138843751379 		 -0.002913313499803974 		 3.388541541350205 		 0.001663384350804206 
64 		 0.09097957207804482 		 0.09710300899999387 		 3.259759677230126 		 0.05589885106010709 
128 		 0.07213673322030509 		 0.33480855813144844 		 2.7958170347087767 		 0.22149565680384725 
256 		 0.03237365294148232 		 1.1559139268887055 		 1.510922483491511 		 0.8878403039743539 
512 		 0.007031185436042426 		 2.202980315093256 		 0.46167441315859603 		 1.7104819633254986 
1024 		 0.002399239175516201 		 1.5511909594301025 		 0.2163771695926265 		 1.0933274923759093 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.09693625292592435 		 * 		 3.3926240078115253 		 * 
8 		 0.09693917983540412 		 -4.356031841452436e-05 		 3.3926107984498817 		 5.617220650638708e-06 
16 		 0.09693208892398926 		 0.00010553418052750628 		 3.3925456502340943 		 2.7704300866931982e-05 
32 		 0.09695531827608339 		 -0.0003456941501624388 		 3.38893099601849 		 0.001537967164754267 
64 		 0.09118428753561555 		 0.08853478932940517 		 3.246182847429216 		 0.062085996854421836 
128 		 0.06590046295209763 		 0.46849664688502285 		 2.582746537599758 		 0.32983819574677337 
256 		 0.026110996556256604 		 1.3356310794116633 		 1.3147273785419928 		 0.9741423952353504 
512 		 0.007863253135655408 		 1.7314593170007497 		 0.5030428925487398 		 1.3860103502458012 
1024 		 0.002460802757387671 		 1.6759972737188056 		 0.22046135461228558 		 1.1901556351382256 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.09699073272108835 		 * 		 3.3925943364421256 		 * 
8 		 0.09695836274019486 		 0.0004815697771754118 		 3.3925755041401344 		 8.008427004775846e-06 
16 		 0.09698272468912711 		 -0.0003624488607513724 		 3.3918462505368145 		 0.00031014892621808937 
32 		 0.09713237046283271 		 -0.0022243840255181152 		 3.3873826534639164 		 0.0018998061234849872 
64 		 0.0908368484165784 		 0.09667451761841764 		 3.29689384972572 		 0.03906353191492102 
